image_id,target
isic_0014666_1.jpg,malignant
isic_4974820_0.jpg,benign
isic_0071045_4.jpg,malignant
isic_5189439_3.jpg,malignant
isic_0817140_0.jpg,benign
isic_4419522_0.jpg,benign
isic_0872821_0.jpg,benign
isic_0033912_0.jpg,benign
isic_2286569_0.jpg,malignant
isic_0026727_0.jpg,benign
isic_0054850_0.jpg,benign
isic_7023656_0.jpg,benign
isic_9683541_2.jpg,malignant
isic_0373249_1.jpg,malignant
isic_0021639_0.jpg,benign
isic_0023161_1.jpg,malignant
isic_3831535_0.jpg,benign
isic_4743738_0.jpg,benign
isic_0033806_2.jpg,malignant
isic_5348663_0.jpg,benign
isic_0034729_0.jpg,benign
isic_6740979_0.jpg,benign
isic_1449915_0.jpg,benign
isic_3244067_3.jpg,malignant
isic_0024594_0.jpg,benign
isic_0057172_3.jpg,malignant
isic_0013503_0.jpg,malignant
isic_0023519_4.jpg,malignant
isic_0067350_2.jpg,malignant
isic_0059046_1.jpg,malignant
isic_5307259_2.jpg,malignant
isic_0022113_1.jpg,malignant
isic_4347535_4.jpg,malignant
isic_3514162_0.jpg,benign
isic_5989162_0.jpg,malignant
isic_0022629_3.jpg,malignant
isic_0032961_0.jpg,benign
isic_3109156_0.jpg,benign
isic_0071134_0.jpg,malignant
isic_0033545_0.jpg,malignant
isic_0032568_0.jpg,benign
isic_0023734_0.jpg,benign
isic_0064014_0.jpg,malignant
isic_0035343_0.jpg,benign
isic_0030327_0.jpg,benign
isic_0033399_2.jpg,malignant
isic_9579703_3.jpg,malignant
isic_0070815_3.jpg,malignant
isic_1730202_0.jpg,benign
isic_1166678_0.jpg,benign
isic_0023110_2.jpg,malignant
isic_0062505_0.jpg,malignant
isic_3784228_0.jpg,benign
isic_0013317_3.jpg,malignant
isic_0034925_0.jpg,benign
isic_3455136_0.jpg,benign
isic_0013581_4.jpg,malignant
isic_0046633_4.jpg,malignant
isic_0011646_4.jpg,malignant
isic_0024846_0.jpg,benign
isic_5230371_0.jpg,benign
isic_0070129_0.jpg,malignant
isic_0021861_3.jpg,malignant
isic_3281337_0.jpg,benign
isic_7043369_2.jpg,malignant
isic_0022257_0.jpg,benign
isic_0062456_0.jpg,benign
isic_0035176_0.jpg,benign
isic_4009870_4.jpg,malignant
isic_0028914_0.jpg,benign
isic_0069209_0.jpg,benign
isic_3009877_1.jpg,malignant
isic_0809927_0.jpg,benign
isic_0034882_0.jpg,malignant
isic_0057441_0.jpg,benign
isic_0055503_3.jpg,malignant
isic_0068252_1.jpg,malignant
isic_0021293_2.jpg,malignant
isic_0059814_3.jpg,malignant
isic_0030032_0.jpg,malignant
isic_0061758_0.jpg,benign
isic_0000394_2.jpg,malignant
isic_0060486_0.jpg,benign
isic_0058634_0.jpg,benign
isic_0010977_3.jpg,malignant
isic_0000411_0.jpg,malignant
isic_0250839_2.jpg,malignant
isic_5213224_0.jpg,benign
isic_0036217_0.jpg,benign
isic_0013153_1.jpg,malignant
isic_0061104_0.jpg,malignant
isic_4910630_0.jpg,malignant
isic_0030413_0.jpg,benign
isic_1135829_0.jpg,malignant
isic_7611886_1.jpg,malignant
isic_4068331_0.jpg,benign
isic_6422158_0.jpg,benign
isic_6256314_0.jpg,benign
isic_0032802_0.jpg,benign
isic_2487188_0.jpg,benign
isic_4548947_0.jpg,benign
isic_0063067_1.jpg,malignant
isic_0013860_3.jpg,malignant
isic_0060518_0.jpg,benign
isic_7544286_1.jpg,malignant
isic_0021093_0.jpg,malignant
isic_0021294_4.jpg,malignant
isic_2365285_0.jpg,benign
isic_0068054_0.jpg,malignant
isic_0544886_0.jpg,benign
isic_0055051_2.jpg,malignant
isic_2550938_0.jpg,benign
isic_0058236_0.jpg,benign
isic_2383551_0.jpg,benign
isic_6821316_4.jpg,malignant
isic_0022703_0.jpg,benign
isic_0027359_2.jpg,malignant
isic_0892980_0.jpg,benign
isic_4069279_0.jpg,benign
isic_0022913_4.jpg,malignant
isic_3216146_0.jpg,benign
isic_0071401_0.jpg,malignant
isic_0055818_4.jpg,malignant
isic_6033220_0.jpg,benign
isic_0071710_4.jpg,malignant
isic_2731847_0.jpg,benign
isic_1829654_0.jpg,benign
isic_0026948_0.jpg,benign
isic_1343302_4.jpg,malignant
isic_0025289_0.jpg,benign
isic_0034289_4.jpg,malignant
isic_2766683_0.jpg,benign
isic_4237289_4.jpg,malignant
isic_0024806_2.jpg,malignant
isic_0057074_0.jpg,benign
isic_0029318_4.jpg,malignant
isic_0031758_0.jpg,benign
isic_0025084_0.jpg,benign
isic_6926865_0.jpg,benign
isic_6127480_0.jpg,benign
isic_0021254_4.jpg,malignant
isic_2607010_0.jpg,benign
isic_0055526_3.jpg,malignant
isic_0060886_4.jpg,malignant
isic_6784722_0.jpg,benign
isic_0062468_2.jpg,malignant
